Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",CP_EIA-2012-12_Kemet-R,2,10uF,
"C2, C5, C6",0603,3,4.7u,
C4,0603,1,1u,
"C7, C8",0603,2,12p,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D47, D48, D49, D5, D50, D51, D6, D7, D8, D9",CUSTOM D_SOD-123,50,1N4148,
D46,0603,1,Schottky,
DISPLAY1,nice_view,1,nice!view,
F1,1206,1,500 mA,
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,
J3,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Battery,C505023
L1,0603,1,10 uH,C92982
LED1,0805,1,CHARGE,
"MX1, MX10, MX11, MX12, MX13, MX14, MX15, MX16, MX17, MX18, MX19, MX2, MX20, MX21, MX22, MX23, MX24, MX25, MX26, MX27, MX28, MX29, MX3, MX30, MX31, MX32, MX33, MX34, MX35, MX36, MX37, MX38, MX39, MX4, MX40, MX41, MX42, MX43, MX44, MX45, MX46, MX47, MX48, MX49, MX5, MX50, MX52, MX53, MX6, MX7, MX8, MX9",SW_MX_1u,52,MX_SW_HS,
Q1,SOT-23,1,AO3401A,
"R1, R2",0603,2,5.1k,
R3,0603,1,10k,
"R4, R5",0603,2,5k,
R6,0603,1,1M,
"S1, S2, S3",STAB_MX_P_2u,3,MX_stab,
SW1,SW_Slide_SPDT_Straight_CK_OS102011MS2Q,1,SW_SPDT,C41430893
SW2,SW_SPST_SKQG_WithStem,1,SW_Push,
"SW3, SW4, SW5",ROT_Alps_EC11E-Switch,3,RotaryEncoder_Switch_MP,
U1,CustomTP4056,1,TP4056,C16581
U2,SOT-23-6,1,USBLC6-2SC6,
U3,nRF52840_E73-2G4M08S1C,1,nRF52840_E73-2G4M08S1C,C356849
Y1,Crystal_SMD_2012-2Pin_2.0x1.2mm,1,32.768 KHz,C55208
